,long,lat,value
79,-25.6364265,-49.26891174,1.0
80,-25.6364265,-49.26482946,1.0
81,-25.6364265,-49.26074718,1.0
82,-25.6364265,-49.2566649,1.0
83,-25.6364265,-49.25258262,1.0
84,-25.6364265,-49.24850034,1.0
85,-25.6364265,-49.24441806,1.0
86,-25.6364265,-49.24033578,1.0
87,-25.6364265,-49.2362535,1.0
88,-25.6364265,-49.23217122,1.0
89,-25.6364265,-49.22808894,1.0
90,-25.6364265,-49.22400666,1.0
91,-25.6364265,-49.21992438,1.0
92,-25.6364265,-49.2158421,1.0
93,-25.6364265,-49.21175982,1.0
94,-25.6364265,-49.20767754,1.0
95,-25.6364265,-49.20359526,1.0
96,-25.6364265,-49.19951298,1.0
97,-25.6364265,-49.1954307,1.0
98,-25.6364265,-49.19134842,1.0
99,-25.6364265,-49.18726614,1.0
100,-25.6304535,-49.38729786,1.0
101,-25.6304535,-49.38321558,1.0
102,-25.6304535,-49.3791333,1.0
103,-25.6304535,-49.37505102,1.0
104,-25.6304535,-49.37096874,1.0
105,-25.6304535,-49.36688646,1.0
106,-25.6304535,-49.36280418,1.0
107,-25.6304535,-49.3587219,1.0
108,-25.6304535,-49.35463962,1.0
109,-25.6304535,-49.35055734,1.0
110,-25.6304535,-49.34647506,1.0
111,-25.6304535,-49.34239278,1.0
112,-25.6304535,-49.3383105,1.0
113,-25.6304535,-49.33422822,1.0
114,-25.6304535,-49.33014594,1.0
115,-25.6304535,-49.32606366,1.0
116,-25.6304535,-49.32198138,1.0
117,-25.6304535,-49.3178991,1.0
118,-25.6304535,-49.31381682,1.0
119,-25.6304535,-49.30973454,1.0
120,-25.6304535,-49.30565226,1.0
121,-25.6304535,-49.30156998,1.0
122,-25.6304535,-49.2974877,1.0
123,-25.6304535,-49.29340542,1.0
124,-25.6304535,-49.28932314,1.0
125,-25.6304535,-49.28524086,1.0
126,-25.6304535,-49.28115858,1.0
127,-25.6304535,-49.2770763,1.0
128,-25.6304535,-49.27299402,1.0
129,-25.6304535,-49.26891174,1.0
130,-25.6304535,-49.26482946,1.0
131,-25.6304535,-49.26074718,1.0
132,-25.6304535,-49.2566649,1.0
133,-25.6304535,-49.25258262,1.0
134,-25.6304535,-49.24850034,1.0
135,-25.6304535,-49.24441806,1.0
136,-25.6304535,-49.24033578,1.0
137,-25.6304535,-49.2362535,1.0
138,-25.6304535,-49.23217122,1.0
139,-25.6304535,-49.22808894,1.0
140,-25.6304535,-49.22400666,1.0
141,-25.6304535,-49.21992438,1.0
142,-25.6304535,-49.2158421,1.0
143,-25.6304535,-49.21175982,1.0
