West Longitude,South Latitude,East Longitude,North Latitude,IDgrid,Valid
-49.2627881811,-25.6274672085,-49.2587059083,-25.6214942047,182,0
-49.2587059083,-25.6274672085,-49.2546236356,-25.6214942047,183,0
-49.2546236356,-25.6274672085,-49.2505413628,-25.6214942047,184,0
-49.2505413628,-25.6274672085,-49.2464590901,-25.6214942047,185,0
-49.2464590901,-25.6274672085,-49.2423768174,-25.6214942047,186,0
-49.2423768174,-25.6274672085,-49.2382945446,-25.6214942047,187,0
-49.2382945446,-25.6274672085,-49.2342122719,-25.6214942047,188,0
-49.2342122719,-25.6274672085,-49.2301299991,-25.6214942047,189,0
-49.2301299991,-25.6274672085,-49.2260477264,-25.6214942047,190,0
-49.2260477264,-25.6274672085,-49.2219654537,-25.6214942047,191,0
-49.2219654537,-25.6274672085,-49.2178831809,-25.6214942047,192,0
-49.2178831809,-25.6274672085,-49.2138009082,-25.6214942047,193,0
-49.2138009082,-25.6274672085,-49.2097186354,-25.6214942047,194,0
-49.2097186354,-25.6274672085,-49.2056363627,-25.6214942047,195,0
-49.2056363627,-25.6274672085,-49.20155409,-25.6214942047,196,0
-49.20155409,-25.6274672085,-49.1974718172,-25.6214942047,197,0
-49.1974718172,-25.6274672085,-49.1933895445,-25.6214942047,198,0
-49.1933895445,-25.6274672085,-49.1893072717,-25.6214942047,199,0
-49.1893072717,-25.6274672085,-49.185224999,-25.6214942047,200,0
-49.389338636,-25.6214942047,-49.3852563633,-25.6155212009,201,0
-49.3852563633,-25.6214942047,-49.3811740905,-25.6155212009,202,0
-49.3811740905,-25.6214942047,-49.3770918178,-25.6155212009,203,0
-49.3770918178,-25.6214942047,-49.373009545,-25.6155212009,204,0
-49.373009545,-25.6214942047,-49.3689272723,-25.6155212009,205,0
-49.3689272723,-25.6214942047,-49.3648449996,-25.6155212009,206,0
-49.3648449996,-25.6214942047,-49.3607627268,-25.6155212009,207,0
-49.3607627268,-25.6214942047,-49.3566804541,-25.6155212009,208,1
-49.3566804541,-25.6214942047,-49.3525981813,-25.6155212009,209,1
-49.3525981813,-25.6214942047,-49.3485159086,-25.6155212009,210,1
-49.3485159086,-25.6214942047,-49.3444336359,-25.6155212009,211,1
-49.3444336359,-25.6214942047,-49.3403513631,-25.6155212009,212,1
-49.3403513631,-25.6214942047,-49.3362690904,-25.6155212009,213,1
-49.3362690904,-25.6214942047,-49.3321868176,-25.6155212009,214,1
-49.3321868176,-25.6214942047,-49.3281045449,-25.6155212009,215,1
-49.3281045449,-25.6214942047,-49.3240222722,-25.6155212009,216,1
-49.3240222722,-25.6214942047,-49.3199399994,-25.6155212009,217,1
-49.3199399994,-25.6214942047,-49.3158577267,-25.6155212009,218,1
-49.3158577267,-25.6214942047,-49.3117754539,-25.6155212009,219,1
-49.3117754539,-25.6214942047,-49.3076931812,-25.6155212009,220,1
-49.3076931812,-25.6214942047,-49.3036109085,-25.6155212009,221,1
-49.3036109085,-25.6214942047,-49.2995286357,-25.6155212009,222,1
-49.2995286357,-25.6214942047,-49.295446363,-25.6155212009,223,1
-49.295446363,-25.6214942047,-49.2913640902,-25.6155212009,224,1
-49.2913640902,-25.6214942047,-49.2872818175,-25.6155212009,225,0
-49.2872818175,-25.6214942047,-49.2831995448,-25.6155212009,226,0
-49.2831995448,-25.6214942047,-49.279117272,-25.6155212009,227,0
-49.279117272,-25.6214942047,-49.2750349993,-25.6155212009,228,0
-49.2750349993,-25.6214942047,-49.2709527265,-25.6155212009,229,0
-49.2709527265,-25.6214942047,-49.2668704538,-25.6155212009,230,0
-49.2668704538,-25.6214942047,-49.2627881811,-25.6155212009,231,0
-49.2627881811,-25.6214942047,-49.2587059083,-25.6155212009,232,0
-49.2587059083,-25.6214942047,-49.2546236356,-25.6155212009,233,0
-49.2546236356,-25.6214942047,-49.2505413628,-25.6155212009,234,0
-49.2505413628,-25.6214942047,-49.2464590901,-25.6155212009,235,0
-49.2464590901,-25.6214942047,-49.2423768174,-25.6155212009,236,0
-49.2423768174,-25.6214942047,-49.2382945446,-25.6155212009,237,0
-49.2382945446,-25.6214942047,-49.2342122719,-25.6155212009,238,0
-49.2342122719,-25.6214942047,-49.2301299991,-25.6155212009,239,0
-49.2301299991,-25.6214942047,-49.2260477264,-25.6155212009,240,0
-49.2260477264,-25.6214942047,-49.2219654537,-25.6155212009,241,0
-49.2219654537,-25.6214942047,-49.2178831809,-25.6155212009,242,0
-49.2178831809,-25.6214942047,-49.2138009082,-25.6155212009,243,0
